% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
15708 0 +1.724704835e+01 +1.164170484e+02 +1.164170484e+02
26503 0 +1.674318777e+01 +1.159131878e+02 +1.159131878e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.179100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.424553663e+01 -4.336644634e+02 -4.336644634e+02
3 0 +7.529885630e+01 -4.426111437e+02 -4.426111437e+02
9 0 +6.575217671e+01 -4.521578233e+02 -4.521578233e+02
16 0 +5.994469000e+01 -4.579653100e+02 -4.579653100e+02
28 0 +5.612406953e+01 -4.617859305e+02 -4.617859305e+02
55 0 +4.698696721e+01 -4.709230328e+02 -4.709230328e+02
128 0 +4.235325833e+01 -4.755567417e+02 -4.755567417e+02
175 0 +4.091366483e+01 -4.769963352e+02 -4.769963352e+02
217 0 +3.759700508e+01 -4.803129949e+02 -4.803129949e+02
815 0 +3.598997647e+01 -4.819200235e+02 -4.819200235e+02
1001 0 +3.105547622e+01 -4.868545238e+02 -4.868545238e+02
1218 0 +3.000921966e+01 -4.879007803e+02 -4.879007803e+02
1308 0 +2.853396530e+01 -4.893760347e+02 -4.893760347e+02
1727 0 +2.778814302e+01 -4.901218570e+02 -4.901218570e+02
2277 0 +2.647902654e+01 -4.914309735e+02 -4.914309735e+02
2301 0 +2.628711770e+01 -4.916228823e+02 -4.916228823e+02
3603 0 +2.553198629e+01 -4.923780137e+02 -4.923780137e+02
3788 0 +2.470811907e+01 -4.932018809e+02 -4.932018809e+02
4811 0 +2.436073325e+01 -4.935492667e+02 -4.935492667e+02
4820 0 +2.381844954e+01 -4.940915505e+02 -4.940915505e+02
6214 0 +2.339999049e+01 -4.945100095e+02 -4.945100095e+02
30385 0 +2.242079748e+01 -4.954892025e+02 -4.954892025e+02
36101 0 +2.002451699e+01 -4.978854830e+02 -4.978854830e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.721000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.194126455e+01 +1.473126455e+01 +1.473126455e+01
5 0 +6.543256798e+01 +8.222567975e+00 +8.222567975e+00
6 0 +5.954073931e+01 +2.330739305e+00 +2.330739305e+00
36 0 +4.877752171e+01 -8.432478293e+00 -8.432478293e+00
508 0 +4.388791043e+01 -1.332208957e+01 -1.332208957e+01
601 0 +4.070325654e+01 -1.650674346e+01 -1.650674346e+01
2603 0 +3.897002079e+01 -1.823997921e+01 -1.823997921e+01
2792 0 +3.825734817e+01 -1.895265183e+01 -1.895265183e+01
3012 0 +3.396131854e+01 -2.324868146e+01 -2.324868146e+01
3201 0 +3.374664481e+01 -2.346335519e+01 -2.346335519e+01
3301 0 +3.139439516e+01 -2.581560484e+01 -2.581560484e+01
3782 0 +2.924260175e+01 -2.796739825e+01 -2.796739825e+01
4643 0 +2.592198820e+01 -3.128801180e+01 -3.128801180e+01
5401 0 +2.085940120e+01 -3.635059880e+01 -3.635059880e+01
5710 0 +1.904773620e+01 -3.816226380e+01 -3.816226380e+01
10920 0 +1.621786752e+01 -4.099213248e+01 -4.099213248e+01
12168 0 +1.556195592e+01 -4.164804408e+01 -4.164804408e+01
13213 0 +1.515778429e+01 -4.205221571e+01 -4.205221571e+01
13601 0 +1.384192507e+01 -4.336807493e+01 -4.336807493e+01
13701 0 +1.372200737e+01 -4.348799263e+01 -4.348799263e+01
13801 0 +1.160534273e+01 -4.560465727e+01 -4.560465727e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.250000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.003956098e+01 +6.078956098e+01 +6.078956098e+01
11 0 +4.839037835e+01 +3.914037835e+01 +3.914037835e+01
208 0 +4.371727867e+01 +3.446727867e+01 +3.446727867e+01
601 0 +4.299936660e+01 +3.374936660e+01 +3.374936660e+01
1301 0 +4.036002353e+01 +3.111002353e+01 +3.111002353e+01
1501 0 +3.947917899e+01 +3.022917899e+01 +3.022917899e+01
2701 0 +3.673058274e+01 +2.748058274e+01 +2.748058274e+01
2802 0 +3.501996893e+01 +2.576996893e+01 +2.576996893e+01
2903 0 +2.809226915e+01 +1.884226915e+01 +1.884226915e+01
4457 0 +2.515252890e+01 +1.590252890e+01 +1.590252890e+01
4609 0 +2.480541488e+01 +1.555541488e+01 +1.555541488e+01
4902 0 +2.302145666e+01 +1.377145666e+01 +1.377145666e+01
6701 0 +2.244510344e+01 +1.319510344e+01 +1.319510344e+01
7901 0 +2.085693952e+01 +1.160693952e+01 +1.160693952e+01
13910 0 +1.929980191e+01 +1.004980191e+01 +1.004980191e+01
14112 0 +1.859443717e+01 +9.344437168e+00 +9.344437168e+00
32801 0 +1.815574882e+01 +8.905748818e+00 +8.905748818e+00
36997 0 +1.664893633e+01 +7.398936327e+00 +7.398936327e+00
38101 0 +1.638869537e+01 +7.138695368e+00 +7.138695368e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.206100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.064575650e+01 +5.112557565e+02 +5.112557565e+02
2 0 +5.888246986e+01 +4.794924699e+02 +4.794924699e+02
20 0 +5.617946243e+01 +4.767894624e+02 +4.767894624e+02
27 0 +5.372043027e+01 +4.743304303e+02 +4.743304303e+02
30 0 +4.632220838e+01 +4.669322084e+02 +4.669322084e+02
46 0 +4.368932962e+01 +4.642993296e+02 +4.642993296e+02
326 0 +2.880641568e+01 +4.494164157e+02 +4.494164157e+02
352 0 +2.809792323e+01 +4.487079232e+02 +4.487079232e+02
549 0 +2.750489710e+01 +4.481148971e+02 +4.481148971e+02
579 0 +2.669510434e+01 +4.473051043e+02 +4.473051043e+02
723 0 +2.556528726e+01 +4.461752873e+02 +4.461752873e+02
1032 0 +2.220244752e+01 +4.428124475e+02 +4.428124475e+02
1057 0 +2.182431087e+01 +4.424343109e+02 +4.424343109e+02
1401 0 +2.101957009e+01 +4.416295701e+02 +4.416295701e+02
1506 0 +1.988282855e+01 +4.404928285e+02 +4.404928285e+02
25133 0 +1.889215904e+01 +4.395021590e+02 +4.395021590e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (2.088100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.855834862e+01 +2.673683486e+02 +2.673683486e+02
36 0 +5.610251530e+01 +2.649125153e+02 +2.649125153e+02
201 0 +5.318623275e+01 +2.619962327e+02 +2.619962327e+02
302 0 +5.114800507e+01 +2.599580051e+02 +2.599580051e+02
413 0 +4.224651791e+01 +2.510565179e+02 +2.510565179e+02
