% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.710000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.530591450e+02 +1.493491450e+02 +1.493491450e+02 -1.9428e+00 +7.8384e-02
4 0 +3.144365936e+01 +2.773365936e+01 +2.773365936e+01 +3.2755e+00 -9.0502e-01
5 0 +2.629982663e+01 +2.258982663e+01 +2.258982663e+01 +2.2689e+00 -1.1618e+00
20 0 +1.027255010e+01 +6.562550098e+00 +6.562550098e+00 +2.0594e+00 -1.7153e+00
115 0 +5.977102326e+00 +2.267102326e+00 +2.267102326e+00 +3.1639e+00 -2.0019e+00
150 0 +4.725591526e+00 +1.015591526e+00 +1.015591526e+00 +3.1407e+00 -2.2424e+00
222 0 +4.446529648e+00 +7.365296477e-01 +7.365296477e-01 +2.9737e+00 -2.2917e+00
256 0 +3.716399044e+00 +6.399044465e-03 +6.399044465e-03 +3.0037e+00 -2.5994e+00
278 0 +1.651055257e-01 -3.544894474e+00 -3.544894474e+00 +3.1407e+00 -2.3019e+00
435 0 +1.792877215e-02 -3.692071228e+00 -3.692071228e+00 +3.1279e+00 -2.2968e+00
925 0 +5.833922869e-03 -3.704166077e+00 -3.704166077e+00 +3.1151e+00 -2.2956e+00
1163 0 +1.084089913e-03 -3.708915910e+00 -3.708915910e+00 +3.1183e+00 -2.2957e+00
1723 0 +2.382645396e-04 -3.709761735e+00 -3.709761735e+00 +3.1197e+00 -2.2955e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.321800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.409414938e+01 +1.862741494e+02 +1.862741494e+02 +2.0820e+00 +1.2798e+00
2 0 +9.798701829e+00 +1.419787018e+02 +1.419787018e+02 -4.8713e+00 +1.9062e+00
97 0 +2.681739964e+00 +1.348617400e+02 +1.348617400e+02 -2.7980e+00 +1.1768e+00
201 0 +1.331841945e+00 +1.335118419e+02 +1.335118419e+02 -3.7480e+00 +1.8660e+00
499 0 +1.297936878e+00 +1.334779369e+02 +1.334779369e+02 -3.7733e+00 +1.8660e+00
732 0 +1.003619034e+00 +1.331836190e+02 +1.331836190e+02 -3.7585e+00 +1.8410e+00
1072 0 +9.961686254e-01 +1.331761686e+02 +1.331761686e+02 -3.7625e+00 +1.8421e+00
1973 0 +6.511481480e-01 +1.328311481e+02 +1.328311481e+02 -3.7809e+00 +1.4653e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.104800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.867034609e+01 +1.591503461e+02 +1.591503461e+02 +4.7031e+00 -2.1364e+00
4 0 +2.419910188e+01 +1.346791019e+02 +1.346791019e+02 +6.4493e-01 -2.0548e+00
34 0 +4.898499967e+00 +1.153785000e+02 +1.153785000e+02 +1.4748e+00 -4.3221e-01
152 0 +2.004899307e+00 +1.124848993e+02 +1.124848993e+02 +1.4683e+00 -5.3488e-01
228 0 +1.065962020e+00 +1.115459620e+02 +1.115459620e+02 +1.4748e+00 -4.9974e-01
523 0 +4.807854145e-01 +1.109607854e+02 +1.109607854e+02 +1.4695e+00 -8.4553e-01
854 0 +3.877133664e-01 +1.108677134e+02 +1.108677134e+02 +1.4831e+00 -8.4553e-01
1339 0 +3.682077109e-01 +1.108482077e+02 +1.108482077e+02 +1.4921e+00 -8.4553e-01
1957 0 +1.112767182e-02 +1.104911277e+02 +1.104911277e+02 +1.4921e+00 -8.6322e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.509000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.157961270e+01 +6.489612701e+00 +6.489612701e+00 +3.2956e+00 -2.1530e+00
2 0 +1.611986737e+01 +1.029867366e+00 +1.029867366e+00 -2.4948e+00 -1.4431e+00
110 0 +2.235797245e+00 -1.285420276e+01 -1.285420276e+01 +4.7056e-01 -1.3965e+00
367 0 +1.138774283e+00 -1.395122572e+01 -1.395122572e+01 +3.9424e-01 -1.3965e+00
529 0 +1.057274023e+00 -1.403272598e+01 -1.403272598e+01 +3.9424e-01 -1.4229e+00
904 0 +1.040766031e+00 -1.404923397e+01 -1.404923397e+01 -5.9483e-01 -1.7748e+00
1187 0 +1.017059023e+00 -1.407294098e+01 -1.407294098e+01 +4.0031e-01 -1.4156e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.583000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.744620421e+01 -1.308537958e+02 -1.308537958e+02 +4.8442e+00 +3.1147e+00
4 0 +1.405454311e+01 -1.442454569e+02 -1.442454569e+02 +1.7559e-01 +3.2649e+00
15 0 +5.160129158e+00 -1.531398708e+02 -1.531398708e+02 +2.8870e+00 +3.8370e+00
94 0 +1.246921770e+00 -1.570530782e+02 -1.570530782e+02 +1.9679e+00 +3.8766e+00
126 0 +1.043851926e+00 -1.572561481e+02 -1.572561481e+02 +1.9344e+00 +3.8766e+00
392 0 +3.022637261e-01 -1.579977363e+02 -1.579977363e+02 +1.9696e+00 +3.5183e+00
527 0 +4.878342274e-02 -1.582512166e+02 -1.582512166e+02 +1.9346e+00 +3.5303e+00
986 0 +3.585033742e-02 -1.582641497e+02 -1.582641497e+02 +1.9442e+00 +3.5270e+00
1034 0 +1.837595979e-02 -1.582816240e+02 -1.582816240e+02 +1.9234e+00 +3.5261e+00
1506 0 +6.230852728e-04 -1.582993769e+02 -1.582993769e+02 +1.9342e+00 +3.5252e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.071000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.609709745e+01 +1.538709745e+01 +1.538709745e+01 +4.3184e-01 +4.4897e+00
3 0 +2.130899479e+01 -1.940100521e+01 -1.940100521e+01 +2.0148e+00 +2.6988e+00
7 0 +1.920066199e+01 -2.150933801e+01 -2.150933801e+01 +1.1914e+00 +4.0566e+00
63 0 +1.506721114e+01 -2.564278886e+01 -2.564278886e+01 +4.1791e+00 +3.8243e+00
85 0 +9.795725368e+00 -3.091427463e+01 -3.091427463e+01 +9.7530e-01 +2.6089e+00
130 0 +4.937416422e+00 -3.577258358e+01 -3.577258358e+01 +2.0075e+00 +3.1938e+00
202 0 +4.384257068e+00 -3.632574293e+01 -3.632574293e+01 +1.0316e+00 +3.8374e+00
423 0 +3.952318424e+00 -3.675768158e+01 -3.675768158e+01 +9.3948e-01 +3.5645e+00
452 0 +1.001971698e+00 -3.970802830e+01 -3.970802830e+01 +2.0498e+00 +3.2278e+00
678 0 +7.596517487e-03 -4.070240348e+01 -4.070240348e+01 +1.0506e+00 +3.2279e+00
959 0 +3.503449599e-03 -4.070649655e+01 -4.070649655e+01 +1.0575e+00 +3.2297e+00
1365 0 +4.393245368e-04 -4.070956068e+01 -4.070956068e+01 +1.0528e+00 +3.2292e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (8.139000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.581061234e+01 +1.472006123e+02 +1.472006123e+02 -1.0247e+00 +1.3940e+00
4 0 +6.530956652e+01 +1.466995665e+02 +1.466995665e+02 +2.6928e+00 +1.7795e+00
5 0 +5.589576211e+01 +1.372857621e+02 +1.372857621e+02 +2.2787e-01 +1.6504e+00
8 0 +3.013656638e+01 +1.115265664e+02 +1.115265664e+02 -4.2390e+00 +2.7688e+00
10 0 +2.098653347e+01 +1.023765335e+02 +1.023765335e+02 -6.3691e-01 +3.8241e+00
21 0 +1.921306824e+01 +1.006030682e+02 +1.006030682e+02 -2.1901e+00 +3.1855e+00
142 0 +1.680094998e+01 +9.819094998e+01 +9.819094998e+01 +5.7680e-01 +3.8468e+00
179 0 +1.027971763e+01 +9.166971763e+01 +9.166971763e+01 +1.9313e+00 +4.1376e+00
210 0 +7.625862512e+00 +8.901586251e+01 +8.901586251e+01 -1.2137e+00 +3.0951e+00
245 0 +5.546803414e+00 +8.693680341e+01 +8.693680341e+01 -1.0976e+00 +3.3968e+00
329 0 +3.976196388e+00 +8.536619639e+01 +8.536619639e+01 +8.1394e-01 +3.7334e+00
382 0 +2.843638755e+00 +8.423363876e+01 +8.423363876e+01 +7.9159e-01 +3.8232e+00
398 0 +1.227715020e+00 +8.261771502e+01 +8.261771502e+01 +8.4807e-01 +3.8019e+00
449 0 +8.442025121e-01 +8.223420251e+01 +8.223420251e+01 +8.7472e-01 +3.4472e+00
601 0 +1.099163132e-02 +8.140099163e+01 +8.140099163e+01 +8.7472e-01 +3.4231e+00
794 0 +7.029442135e-03 +8.139702944e+01 +8.139702944e+01 +8.7205e-01 +3.4231e+00
1068 0 +5.744590804e-03 +8.139574459e+01 +8.139574459e+01 +8.6961e-01 +3.4231e+00
1239 0 +5.676942012e-04 +8.139056769e+01 +8.139056769e+01 +8.6860e-01 +3.4253e+00
1330 0 +1.259360201e-04 +8.139012594e+01 +8.139012594e+01 +8.6993e-01 +3.4246e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.144000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.721663074e+02 +4.136063074e+02 +4.136063074e+02 +4.2235e+00 +1.0816e+00
4 0 +3.833670283e+01 +7.977670283e+01 +7.977670283e+01 +2.4192e+00 -3.7140e+00
5 0 +1.944238653e+01 +6.088238653e+01 +6.088238653e+01 -2.7705e+00 -2.8920e+00
42 0 +5.339809535e+00 +4.677980953e+01 +4.677980953e+01 -6.5295e-01 -2.5716e+00
215 0 +3.222775675e+00 +4.466277568e+01 +4.466277568e+01 +2.3765e-01 -2.9108e+00
236 0 +3.106165047e+00 +4.454616505e+01 +4.454616505e+01 +1.3832e+00 -2.2196e+00
292 0 +2.346632673e+00 +4.378663267e+01 +4.378663267e+01 +2.3974e-01 -2.6115e+00
400 0 +1.700164649e+00 +4.314016465e+01 +4.314016465e+01 +3.2894e-01 -2.6115e+00
516 0 +1.635860830e+00 +4.307586083e+01 +4.307586083e+01 +2.6040e-01 -2.6115e+00
582 0 +1.025457994e+00 +4.246545799e+01 +4.246545799e+01 +2.2812e+00 -2.5988e+00
722 0 +2.495005352e-01 +4.168950054e+01 +4.168950054e+01 +1.2915e+00 -2.6123e+00
815 0 +1.624695744e-01 +4.160246957e+01 +4.160246957e+01 +1.3153e+00 -2.5982e+00
1076 0 +1.397264696e-02 +4.145397265e+01 +4.145397265e+01 +1.2805e+00 -2.6009e+00
1711 0 +1.342367057e-02 +4.145342367e+01 +4.145342367e+01 +1.2941e+00 -2.6030e+00
1938 0 +6.836251871e-03 +4.144683625e+01 +4.144683625e+01 +1.2911e+00 -2.5989e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.709000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.736351003e+01 +3.027351003e+01 +3.027351003e+01 -3.7557e+00 -1.5672e+00
2 0 +3.598786928e+01 +8.897869285e+00 +8.897869285e+00 +2.2698e-01 -1.0191e+00
3 0 +2.199224925e+01 -5.097750750e+00 -5.097750750e+00 +4.1924e-01 -2.1858e+00
4 0 +1.198978520e+01 -1.510021480e+01 -1.510021480e+01 +8.7343e-02 -1.8913e+00
19 0 +5.148240907e+00 -2.194175909e+01 -2.194175909e+01 +1.2775e+00 -2.3217e+00
46 0 +2.709089747e+00 -2.438091025e+01 -2.438091025e+01 +2.4955e-01 -2.6417e+00
194 0 +1.007662271e+00 -2.608233773e+01 -2.608233773e+01 +1.2548e+00 -2.6408e+00
420 0 +4.973097038e-02 -2.704026903e+01 -2.704026903e+01 +1.1760e+00 -2.6278e+00
1102 0 +4.450446822e-02 -2.704549553e+01 -2.704549553e+01 +1.1675e+00 -2.6308e+00
1299 0 +2.803259031e-02 -2.706196741e+01 -2.706196741e+01 +1.1899e+00 -2.6305e+00
1417 0 +5.293702155e-03 -2.708470630e+01 -2.708470630e+01 +1.1850e+00 -2.6320e+00
