% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.620596688e+01 -9.137940331e+02 -9.137940331e+02 -4.5330e-01 -4.5039e+00 +1.4582e+00 +2.1144e+00 +4.3804e-01 +3.5771e+00 +1.9508e+00 +5.3236e-01 +4.9737e+00 +4.5417e+00 -3.7776e+00 +2.3800e-01 +4.2259e-01 -2.1127e+00 -3.9772e+00 -1.2395e+00 +4.4356e+00 -4.8097e+00 -3.6303e+00 -1.1354e+00
4 0 +8.616430987e+01 -9.138356901e+02 -9.138356901e+02 +7.0557e-01 -3.9970e+00 +4.8019e+00 -9.4546e-01 +2.3905e+00 +4.8036e-01 -3.0851e-01 -4.6799e+00 +3.8838e+00 -2.5327e+00 +1.8181e+00 -3.3357e+00 +4.5701e+00 +6.1603e-01 +3.7059e+00 +1.0720e+00 -4.5820e+00 +4.7060e+00 +7.7492e-01 -4.9380e+00
16 0 +8.462196530e+01 -9.153780347e+02 -9.153780347e+02 -3.7811e+00 +4.8785e+00 +4.6338e+00 -1.8924e+00 +4.2177e-01 -3.0199e+00 -2.0465e+00 -1.9509e+00 -2.6375e+00 +3.6498e+00 +4.1845e+00 -4.2788e+00 -2.3540e+00 +2.2879e+00 -8.4741e-01 +6.6225e-01 -1.3431e+00 -2.6982e+00 -3.0282e+00 -3.5227e-01
29 0 +8.239798487e+01 -9.176020151e+02 -9.176020151e+02 -3.4351e+00 +9.4175e-01 +1.3154e-01 -1.0269e+00 +3.6253e+00 -3.0091e+00 -1.9958e+00 -8.4570e-01 +2.5334e+00 +4.3751e+00 -2.0559e+00 +1.6957e-01 +9.3062e-01 -2.9366e+00 +2.8238e-01 -7.8951e-01 -1.8066e+00 +1.8693e+00 +3.3252e+00 -3.9576e+00
52 0 +8.070873253e+01 -9.192912675e+02 -9.192912675e+02 -4.8862e+00 +1.7819e-01 -1.3609e+00 +5.0274e-01 +4.1516e-01 -1.8976e+00 -3.4891e+00 +1.6021e+00 -2.3489e+00 +1.0238e+00 -3.9297e+00 +1.1775e+00 -1.1427e+00 -2.5743e+00 +1.8950e+00 +6.4595e-01 -3.6483e+00 -3.8611e+00 -1.8916e-01 -9.7430e-01
156 0 +7.854091380e+01 -9.214590862e+02 -9.214590862e+02 -3.0024e+00 -8.2790e-01 -3.3659e-01 -2.5338e-01 -6.0250e-01 -1.6137e+00 +6.3687e-01 -1.1197e-01 +1.5927e+00 -1.1140e+00 +2.9120e+00 -1.3131e+00 -2.7598e-01 +6.5648e-01 -2.5450e+00 +5.1234e-01 +7.0587e-01 -3.7615e-01 +1.7244e+00 +7.1634e-01
193 0 +7.757774951e+01 -9.224222505e+02 -9.224222505e+02 -2.6153e+00 +1.0743e+00 +3.0768e-01 -1.4522e+00 +2.8021e+00 -1.4861e+00 -2.1972e+00 -1.2742e+00 +3.5777e+00 -3.3127e-01 +1.5396e-02 -3.3401e+00 -1.3568e-01 -2.0316e+00 -8.7389e-01 -2.3458e+00 -1.3022e+00 -5.3853e-01 +1.2851e+00 +8.7492e-01
227 0 +7.212803339e+01 -9.278719666e+02 -9.278719666e+02 -1.0021e+00 -2.1312e+00 +4.0549e-02 +4.9407e-01 +1.1233e+00 +2.8003e-01 -6.8595e-01 -3.2469e+00 +2.2946e+00 +1.8077e+00 +1.2300e+00 +3.4679e-01 -3.1242e-01 +6.0380e-01 -9.3519e-02 -8.5348e-01 +9.3831e-01 -5.1429e-01 +9.7176e-01 -2.7153e+00
309 0 +7.070660488e+01 -9.292933951e+02 -9.292933951e+02 -2.5302e+00 +3.1941e-01 +5.4632e-01 -1.5093e+00 +1.2264e+00 -1.0718e+00 -4.6846e-01 -2.3638e+00 +2.4483e+00 -7.9911e-01 +1.2348e+00 -2.2175e+00 +1.2994e+00 -1.4326e+00 +1.0543e+00 -1.2776e+00 -6.7573e-01 -2.5140e-02 -2.8274e-01 -8.8916e-01
506 0 +6.901818131e+01 -9.309818187e+02 -9.309818187e+02 -1.8598e+00 -1.2928e+00 -2.6101e-01 -6.0165e-01 +6.8796e-01 -2.5112e-01 -2.8085e-01 -2.9703e+00 +1.6298e+00 +1.1122e+00 +1.5910e+00 -1.0755e+00 +4.3717e-01 +5.1258e-01 +5.3494e-01 -4.9008e-01 +3.5548e-01 -1.0847e+00 +5.3953e-01 -1.5379e+00
800 0 +6.704621455e+01 -9.329537855e+02 -9.329537855e+02 -2.1846e+00 -2.4948e-01 +6.0908e-01 -1.3340e+00 +1.1664e+00 -8.8114e-01 -8.3843e-01 -2.6606e+00 +2.1072e+00 +1.2540e-01 +1.4573e+00 -1.6966e+00 +4.0356e-01 -6.6610e-01 +3.3706e-01 -1.1260e+00 -2.5861e-01 -6.2771e-01 +2.8296e-01 -1.0446e+00
961 0 +6.602403548e+01 -9.339759645e+02 -9.339759645e+02 -2.1846e+00 -2.4948e-01 +6.0908e-01 -1.3340e+00 +1.0787e+00 -9.2642e-01 -8.3843e-01 -2.8263e+00 +1.9579e+00 +3.4099e-01 +1.4573e+00 -1.8056e+00 +3.7089e-01 -6.6610e-01 +3.3706e-01 -1.1260e+00 -2.0154e-01 -6.8162e-01 +3.1394e-01 -1.2049e+00
1116 0 +6.415266058e+01 -9.358473394e+02 -9.358473394e+02 -2.1514e+00 -5.8357e-01 +6.0908e-01 -1.4497e+00 +1.0110e+00 -1.1276e+00 -1.0956e+00 -2.7807e+00 +2.1799e+00 +2.0941e-01 +1.7146e+00 -1.8666e+00 +4.5819e-01 -1.1514e+00 +5.4570e-01 -1.2816e+00 -3.2255e-01 -6.4557e-01 +2.8414e-01 -1.0907e+00
1326 0 +6.259941948e+01 -9.374005805e+02 -9.374005805e+02 -2.2753e+00 -8.1281e-01 +3.2520e-01 -1.4156e+00 +1.1672e+00 -1.2809e+00 -7.9416e-01 -2.7773e+00 +1.9700e+00 +3.6775e-01 +1.7918e+00 -1.7340e+00 +4.6218e-01 -8.3311e-01 +4.6680e-01 -1.3640e+00 -2.6289e-01 -8.8006e-01 +1.7054e-01 -1.2144e+00
1630 0 +6.137785201e+01 -9.386221480e+02 -9.386221480e+02 -2.2550e+00 -8.9571e-01 +3.9901e-01 -1.6433e+00 +8.9895e-01 -1.0935e+00 -8.0704e-01 -2.9182e+00 +1.8485e+00 +3.3819e-01 +1.7033e+00 -1.7008e+00 +6.2730e-01 -7.0363e-01 +5.0500e-01 -1.2606e+00 -3.4866e-02 -8.3885e-01 +3.2739e-01 -1.1882e+00
1701 0 +5.977232709e+01 -9.402276729e+02 -9.402276729e+02 -2.4404e+00 -5.4718e-01 +4.0335e-01 -1.5101e+00 +1.2141e+00 -1.4079e+00 -6.6715e-01 -2.9238e+00 +1.9658e+00 +6.9380e-01 +1.7947e+00 -1.9727e+00 +5.9490e-01 -7.9372e-01 +3.6787e-01 -1.3360e+00 -8.0073e-02 -8.0938e-01 +3.1653e-01 -1.2305e+00
1897 0 +5.856013818e+01 -9.414398618e+02 -9.414398618e+02 -2.4300e+00 -9.1740e-01 +3.8664e-01 -1.8276e+00 +8.1800e-01 -1.1658e+00 -7.4347e-01 -2.9447e+00 +1.8562e+00 +5.6229e-01 +1.7700e+00 -1.6619e+00 +7.3729e-01 -5.9685e-01 +2.6550e-01 -1.1867e+00 -5.9078e-02 -9.3612e-01 +3.9316e-01 -1.1882e+00
