% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.677190869e+01 -9.332280913e+02 -9.332280913e+02 +4.5415e+00 -3.5708e+00 +1.1738e+00 +4.2720e+00 +4.5266e+00 +4.7872e+00 +3.4069e+00 +4.8263e+00 -2.5977e+00 -2.3773e+00
1101 0 +6.494793747e+01 -9.350520625e+02 -9.350520625e+02 +7.9259e-01 -7.3170e-01 -6.1434e-02 +8.3071e-01 +1.0194e+00 -2.5728e-01 +4.1556e-01 +1.1190e+00 +4.6659e-01 +1.2534e-01
1201 0 +6.197032255e+01 -9.380296774e+02 -9.380296774e+02 +9.5551e-01 -9.4557e-01 -2.7871e-01 +9.0276e-01 +1.3004e+00 -5.0909e-01 +5.7412e-01 +1.2600e+00 +6.6797e-01 +1.8161e-01
1301 0 +5.798701131e+01 -9.420129887e+02 -9.420129887e+02 +1.1351e+00 -1.1959e+00 -4.7772e-01 +9.9758e-01 +1.6611e+00 -8.2707e-01 +6.7623e-01 +1.6508e+00 +8.1802e-01 +1.7126e-01
1401 0 +5.630076385e+01 -9.436992361e+02 -9.436992361e+02 +9.1678e-01 -1.3693e+00 -4.8263e-01 +9.8402e-01 +1.7832e+00 -1.0796e+00 +7.5035e-01 +1.9620e+00 +8.6295e-01 +3.3575e-01
1801 0 +5.526453814e+01 -9.447354619e+02 -9.447354619e+02 +1.1603e+00 -1.8311e+00 -7.7201e-01 +1.1031e+00 +2.1196e+00 -1.6191e+00 +9.5170e-01 +2.4483e+00 +1.1777e+00 +4.0894e-01
1901 0 +5.458072041e+01 -9.454192796e+02 -9.454192796e+02 +1.1504e+00 -1.8658e+00 -7.1215e-01 +1.0491e+00 +2.1653e+00 -1.6495e+00 +9.4393e-01 +2.6568e+00 +1.4065e+00 +2.1916e-01
2103 0 +4.914663396e+01 -9.508533660e+02 -9.508533660e+02 +8.4766e-01 -1.2517e+00 -1.3480e-02 +9.9450e-01 +1.6735e+00 -8.6202e-01 +3.7559e-01 +2.1305e+00 +1.3102e+00 +2.7309e-01
2201 0 +4.519550799e+01 -9.548044920e+02 -9.548044920e+02 +6.8804e-01 -1.2470e+00 +1.4900e-01 +9.4343e-01 +1.9124e+00 -8.0341e-01 +1.8569e-01 +2.2993e+00 +1.4667e+00 +2.9773e-01
2301 0 +3.868915476e+01 -9.613108452e+02 -9.613108452e+02 +6.8964e-01 -1.4222e+00 +4.6155e-01 +9.8308e-01 +2.5110e+00 -6.4181e-01 -1.9935e-01 +3.0717e+00 +1.9065e+00 +5.1241e-01
