% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.210000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
2201 0 +6.358152014e-01 +6.566258152e+02 +6.566258152e+02 +4.9574e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -4.9407e+00
2401 0 +4.773331091e-02 +6.560377333e+02 +6.560377333e+02 +5.0000e+00 -4.9732e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.671000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.354688360e+01 +1.402568836e+02 +1.402568836e+02 -4.9388e+00 -1.0172e+00 -2.9323e+00 -9.1294e-01 -2.3387e+00
4 0 +4.228637962e+01 +1.089963796e+02 +1.089963796e+02 +2.6145e+00 -2.1302e+00 -6.8275e-01 +4.9011e+00 -3.4640e+00
25 0 +2.349628863e+01 +9.020628863e+01 +9.020628863e+01 -2.4448e+00 +3.6253e+00 -3.7599e+00 +4.8412e+00 -4.9212e+00
102 0 +2.068451221e+01 +8.739451221e+01 +8.739451221e+01 +3.2507e+00 -2.1231e+00 -2.7998e+00 +4.9360e+00 -5.0000e+00
201 0 +2.018474159e+01 +8.689474159e+01 +8.689474159e+01 +3.5405e+00 -2.3512e+00 -2.9681e+00 +4.9096e+00 -5.0000e+00
301 0 +1.643874866e+01 +8.314874866e+01 +8.314874866e+01 +5.0000e+00 -1.6464e+00 -4.8761e+00 +5.0000e+00 -4.9917e+00
702 0 +1.595762136e+01 +8.266762136e+01 +8.266762136e+01 +4.9609e+00 -1.7926e+00 -4.9935e+00 +4.9912e+00 -4.9777e+00
901 0 +1.514033799e+01 +8.185033799e+01 +8.185033799e+01 +3.3714e+00 -1.1935e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00
902 0 +1.468149626e+01 +8.139149626e+01 +8.139149626e+01 +5.0000e+00 -2.6235e+00 -5.0000e+00 +4.9190e+00 -5.0000e+00
1101 0 +1.401718013e+01 +8.072718013e+01 +8.072718013e+01 +4.9969e+00 -2.8268e+00 -4.9627e+00 +4.9933e+00 -5.0000e+00
1301 0 +1.185751688e+01 +7.856751688e+01 +7.856751688e+01 +4.9192e+00 -4.4412e+00 -5.0000e+00 +4.9531e+00 -4.9319e+00
